ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.067,0.187,-0.988,-0.488,0.122,1.099,169.063,-3.95,12.7,lying
0.067,0.187,-0.988,-0.549,0.61,1.343,169.058,-3.955,12.689,lying
0.067,0.187,-0.988,-0.549,0.61,1.343,169.058,-3.966,12.678,lying
0.067,0.185,-0.986,-0.854,0.671,1.526,169.052,-3.972,12.662,lying
0.064,0.185,-0.986,-0.854,0.671,1.526,169.047,-3.983,12.651,lying
0.064,0.182,-0.987,-1.221,0.366,1.404,169.036,-3.988,12.64,lying
0.063,0.182,-0.987,-1.221,0.366,1.404,169.025,-3.994,12.623,lying
0.063,0.181,-0.987,-1.16,0,1.221,169.019,-3.994,12.612,lying
0.067,0.181,-0.987,-1.16,0,1.221,169.008,-3.994,12.601,lying
0.067,0.184,-0.987,-0.793,-0.244,1.221,169.003,-3.994,12.585,lying
0.071,0.184,-0.987,-0.793,-0.244,1.221,169.003,-3.988,12.574,lying
0.071,0.186,-0.985,-0.549,0.305,1.465,168.997,-3.994,12.563,lying
0.066,0.186,-0.985,-0.549,0.305,1.465,168.997,-3.999,12.546,lying
0.066,0.185,-0.986,-0.793,0.61,1.709,168.992,-4.005,12.53,lying
0.065,0.185,-0.986,-0.793,0.61,1.709,168.986,-4.016,12.513,lying
0.065,0.184,-0.987,-1.038,0.122,1.648,168.981,-4.016,12.497,lying
0.068,0.184,-0.987,-1.038,0.122,1.648,168.975,-4.021,12.48,lying
0.068,0.184,-0.987,-1.221,0.244,1.282,168.964,-4.026,12.469,lying
0.067,0.184,-0.987,-1.221,0.244,1.282,168.959,-4.026,12.458,lying
0.067,0.185,-0.988,-1.221,0.305,1.099,168.948,-4.032,12.448,lying
0.066,0.185,-0.988,-1.221,0.305,1.099,168.942,-4.037,12.437,lying
0.066,0.182,-0.989,-1.038,-0.122,0.916,168.931,-4.032,12.431,lying
0.071,0.182,-0.989,-1.038,-0.122,0.916,168.926,-4.032,12.42,lying
0.071,0.185,-0.985,-0.916,0.061,0.793,168.92,-4.032,12.409,lying
0.068,0.185,-0.985,-0.916,0.061,0.793,168.915,-4.037,12.404,lying
0.068,0.187,-0.988,-1.282,0.305,0.977,168.909,-4.037,12.393,lying
0.066,0.187,-0.988,-1.282,0.305,0.977,168.898,-4.043,12.387,lying
0.066,0.185,-0.988,-1.465,0.244,0.916,168.887,-4.043,12.376,lying
0.065,0.185,-0.988,-1.465,0.244,0.916,168.876,-4.048,12.371,lying
0.065,0.184,-0.988,-1.343,-0.366,0.916,168.865,-4.043,12.36,lying
0.069,0.184,-0.988,-1.343,-0.366,0.916,168.854,-4.043,12.349,lying
0.069,0.188,-0.987,-1.16,-0.793,1.099,168.849,-4.037,12.338,lying
0.071,0.188,-0.987,-1.16,-0.793,1.099,168.843,-4.026,12.327,lying
0.071,0.191,-0.987,-1.221,-0.61,1.282,168.832,-4.026,12.31,lying
0.062,0.191,-0.987,-1.221,-0.61,1.282,168.827,-4.021,12.294,lying
0.062,0.186,-0.992,-1.404,-0.183,0.916,168.816,-4.021,12.288,lying
0.072,0.186,-0.992,-1.404,-0.183,0.916,168.805,-4.016,12.277,lying
0.072,0.182,-0.987,-1.16,0.366,0.244,168.794,-4.021,12.277,lying
0.064,0.182,-0.987,-1.16,0.366,0.244,168.788,-4.021,12.272,lying
0.064,0.191,-0.981,-1.343,0.61,0.61,168.777,-4.032,12.266,lying
0.069,0.191,-0.981,-1.343,0.61,0.61,168.766,-4.037,12.266,lying
0.069,0.194,-0.98,-1.16,0.244,1.038,168.761,-4.037,12.255,lying
0.072,0.194,-0.98,-1.16,0.244,1.038,168.75,-4.043,12.244,lying
0.072,0.189,-0.983,-1.16,1.16,1.221,168.745,-4.048,12.233,lying
0.067,0.189,-0.983,-1.16,1.16,1.221,168.734,-4.065,12.222,lying
0.067,0.188,-0.987,-1.587,0.916,1.282,168.728,-4.076,12.217,lying
0.067,0.188,-0.987,-1.587,0.916,1.282,168.712,-4.087,12.206,lying
0.067,0.189,-0.988,-1.77,0.549,1.099,168.701,-4.092,12.195,lying
0.069,0.189,-0.988,-1.77,0.549,1.099,168.684,-4.098,12.184,lying
0.069,0.196,-0.985,-2.075,0.305,1.038,168.668,-4.103,12.173,lying
0.069,0.196,-0.985,-2.075,0.305,1.038,168.651,-4.109,12.162,lying
0.069,0.196,-0.987,-2.625,-0.061,1.404,168.635,-4.109,12.151,lying
0.069,0.196,-0.987,-2.625,-0.061,1.404,168.613,-4.114,12.14,lying
0.069,0.194,-0.989,-2.808,-0.427,1.77,168.585,-4.109,12.123,lying
0.067,0.194,-0.989,-2.808,-0.427,1.77,168.563,-4.109,12.101,lying
0.067,0.189,-0.992,-2.38,-0.122,2.136,168.541,-4.109,12.085,lying
0.066,0.189,-0.992,-2.38,-0.122,2.136,168.519,-4.109,12.063,lying
0.066,0.188,-0.992,-1.16,-0.427,2.014,168.508,-4.109,12.041,lying
0.067,0.188,-0.992,-1.16,-0.427,2.014,168.503,-4.109,12.019,lying
0.067,0.19,-0.987,-0.549,-0.427,1.648,168.497,-4.109,12.003,lying
0.066,0.19,-0.987,-0.549,-0.427,1.648,168.497,-4.103,11.986,lying
0.066,0.192,-0.985,-0.854,-0.122,1.221,168.497,-4.103,11.97,lying
0.063,0.192,-0.985,-0.854,-0.122,1.221,168.492,-4.103,11.959,lying
0.063,0.193,-0.984,-0.854,-0.122,0.793,168.486,-4.103,11.948,lying
0.068,0.193,-0.984,-0.854,-0.122,0.793,168.481,-4.103,11.942,lying
0.068,0.195,-0.981,-0.977,-0.183,0.671,168.475,-4.098,11.931,lying
0.07,0.195,-0.981,-0.977,-0.183,0.671,168.47,-4.098,11.926,lying
0.07,0.193,-0.983,-1.526,0.183,0.549,168.459,-4.098,11.92,lying
0.068,0.193,-0.983,-1.526,0.183,0.549,168.448,-4.098,11.915,lying
0.068,0.191,-0.987,-1.648,0.305,0.488,168.437,-4.103,11.909,lying
0.069,0.191,-0.987,-1.648,0.305,0.488,168.426,-4.103,11.904,lying
0.069,0.191,-0.987,-1.526,0.061,0.549,168.409,-4.103,11.898,lying
0.07,0.191,-0.987,-1.526,0.061,0.549,168.398,-4.103,11.893,lying
0.07,0.194,-0.984,-1.404,-0.061,0.671,168.387,-4.103,11.887,lying
0.069,0.194,-0.984,-1.404,-0.061,0.671,168.382,-4.103,11.882,lying
0.069,0.195,-0.984,-1.404,0,0.977,168.371,-4.103,11.876,lying
0.069,0.195,-0.984,-1.404,0,0.977,168.36,-4.103,11.865,lying
0.069,0.197,-0.986,-1.465,-0.549,1.404,168.349,-4.103,11.854,lying
0.071,0.197,-0.986,-1.465,-0.549,1.404,168.338,-4.098,11.838,lying
0.071,0.2,-0.984,-1.465,-0.854,1.77,168.327,-4.098,11.821,lying
